"filename", "language", "JSON", "Dart", "C++", "YAML", "Markdown", "XML", "HTML", "Swift", "JavaScript", "Groovy", "Properties", "comment", "blank", "total"
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\detail\post_detail.dart", "Dart", 0, 281, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 32, 319
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\detail\widgets\post\post_comments\post_comment_tile.dart", "Dart", 0, 159, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 171
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\detail\widgets\post\post_comments\post_detail_comments_part.dart", "Dart", 0, 180, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15, 198
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\detail\widgets\post\post_description_card.dart", "Dart", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 5, 57
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\detail\widgets\post\post_detail_info_part.dart", "Dart", 0, 168, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14, 184
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\detail\widgets\post\post_headers\audio_player\audio_player_widget.dart", "Dart", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 59
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\detail\widgets\post\post_headers\audio_player\player_buttons.dart", "Dart", 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 136
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\detail\widgets\post\post_headers\audio_post_header.dart", "Dart", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\detail\widgets\post\post_headers\image_post_header.dart", "Dart", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 43
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\detail\widgets\post\post_headers\video_post_header.dart", "Dart", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\discover\discover_page.dart", "Dart", 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 91
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\discover\widgets\post_card.dart", "Dart", 0, 219, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16, 237
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\discover\widgets\post_card_for_grids.dart", "Dart", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 52
"d:\Yazilim\Flutter\Dodact\dodact_v1\lib\ui\discover\widgets\posts_part.dart", "Dart", 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 8, 105
