Date : 2021-09-29 16:58:06
Directory : d:\Software\Flutter\dodact_v1
Total : 232 files,  22666 codes, 1652 comments, 2084 blanks, all 26402 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| d:\Software\Flutter\dodact_v1\lib\ui\creation\subpages\event_creation_page.dart                                | Dart       |        704 |         14 |         48 |        766 |
| d:\Software\Flutter\dodact_v1\lib\ui\creation\subpages\post_creation_page.dart                                 | Dart       |        586 |         64 |         55 |        705 |
| d:\Software\Flutter\dodact_v1\lib\ui\detail\about_dodact.dart                                                  | Dart       |          7 |          0 |          2 |          9 |
| d:\Software\Flutter\dodact_v1\lib\ui\detail\podcast_detail.dart                                                | Dart       |        113 |         13 |          8 |        134 |
| d:\Software\Flutter\dodact_v1\lib\ui\detail\post_detail.dart                                                   | Dart       |        287 |          6 |         32 |        325 |
| d:\Software\Flutter\dodact_v1\lib\ui\detail\widgets\post\post_comments\post_comment_tile.dart                  | Dart       |        159 |          0 |         12 |        171 |
| d:\Software\Flutter\dodact_v1\lib\ui\detail\widgets\post\post_comments\post_detail_comments_part.dart          | Dart       |        180 |          3 |         15 |        198 |
| d:\Software\Flutter\dodact_v1\lib\ui\detail\widgets\post\post_description_card.dart                            | Dart       |         25 |         27 |          5 |         57 |
| d:\Software\Flutter\dodact_v1\lib\ui\detail\widgets\post\post_detail_info_part.dart                            | Dart       |        168 |          2 |         14 |        184 |
| d:\Software\Flutter\dodact_v1\lib\ui\detail\widgets\post\post_headers\audio_player\audio_player_widget.dart    | Dart       |         48 |          2 |          9 |         59 |
| d:\Software\Flutter\dodact_v1\lib\ui\detail\widgets\post\post_headers\audio_player\player_buttons.dart         | Dart       |        122 |          5 |          9 |        136 |
| d:\Software\Flutter\dodact_v1\lib\ui\detail\widgets\post\post_headers\audio_post_header.dart                   | Dart       |         17 |          0 |          3 |         20 |
| d:\Software\Flutter\dodact_v1\lib\ui\detail\widgets\post\post_headers\image_post_header.dart                   | Dart       |         39 |          0 |          4 |         43 |
| d:\Software\Flutter\dodact_v1\lib\ui\detail\widgets\post\post_headers\video_post_header.dart                   | Dart       |         26 |          0 |          4 |         30 |
| d:\Software\Flutter\dodact_v1\lib\ui\discover\discover_page.dart                                               | Dart       |         85 |          0 |          6 |         91 |
| d:\Software\Flutter\dodact_v1\lib\ui\discover\widgets\post_card.dart                                           | Dart       |        219 |          2 |         16 |        237 |
| d:\Software\Flutter\dodact_v1\lib\ui\discover\widgets\post_card_for_grids.dart                                 | Dart       |         46 |          0 |          6 |         52 |
| d:\Software\Flutter\dodact_v1\lib\ui\discover\widgets\posts_part.dart                                          | Dart       |         65 |         32 |          8 |        105 |
